업체명	배출량	주소	시	군구	위도	경도
에피디어	92	경기도 시흥시 경제로 297	경기도	시흥시	126.7263975	37.326009
엔에이치케미칼(주)	2537	울산광역시 울주군 청량면 상개로 63-75	울산광역시	울주군 청량면	129.3152482	35.4884795
엘에스니꼬동제련(주)	64	울산광역시 울주군 온산읍 산암로 148	울산광역시	울주군 온산읍	129.349968	35.4361743
엘에스메탈(주)부산사업장	9	부산광역시 강서구 화전산단5로117번길 35	부산광역시	강서구	128.8752	35.1113321
엘에스엠트론(주)안양공장	10	경기도 안양시 동안구 엘에스로116번길 39	경기도	안양시 동안구	126.9498432	37.3738473
엘에스전선(주)	0	경상북도 구미시 수출대로 228	경상북도	구미시	128.3896303	36.1106696
엘에스전선(주)	1	경상북도 구미시 3공단2로 238	경상북도	구미시	128.4085753	36.1010893
엘에스전선(주)동해	0	강원도 동해시 대동로 215	강원도	동해시	129.1200654	37.4907268
엘지전자(주)1공장	0	경상북도 구미시 수출대로 168	경상북도	구미시	128.3836326	36.1103773
엠씨엠	0	부산광역시 강서구 미음산단3로 37	부산광역시	강서구	128.8580433	35.1478397
엠알씨2공장	0	전라남도 광양시 제철로 2148-33	전라남도	광양시	127.7654547	34.9290507
엠에스씨	2	인천광역시 남동구 남동서로 75	인천광역시	남동구	126.6841185	37.397949
엠이엠씨코리아주식회사	0	충청남도 천안시 서북구 성거읍 망향로 854	충청남도	천안시 서북구 성거읍	127.21055	36.8912237
엠케이켐앤텍오창공장	0	충청북도 청원군 오창읍 양청송대길 28	충청북도	청주시 청원구 오창읍	127.440317	36.7133907
여천NCC(주)여수1공장	14837	전라남도 여수시 여수산단3로 2	전라남도	여수시	127.6776673	34.8197756
여천NCC(주)여수2공장	3989	전라남도 여수시 여수산단2로 46-20	전라남도	여수시	127.6653385	34.8095189
여천NCC(주)여수3공장	560	전라남도 여수시 여수산단2로 220-62	전라남도	여수시	127.6579741	34.8177311
영림임업(주)	1	인천광역시 남동구 호구포로 9	인천광역시	남동구	126.6967979	37.3868186
영림임업(주)2공장	1	인천광역시 남동구 앵고개로 630	인천광역시	남동구	126.7078027	37.3894616
영림화학(주)	276	인천광역시 서구 봉수대로 131	인천광역시	서구	126.6601625	37.4875346
영신금속공업(주)	36	경기도 평택시 포승읍 포승공단로118번길 118	경기도	평택시 포승읍	126.8528823	36.9708149
영신정공(주)	29953	경상북도 경주시 천북면 오야리 408 번지 한백길	경상북도	경주시 천북면	129.2515534	35.9313681
영신정공(주)화산공장	21598	경상북도 경주시 천북면 화산공단길 247-90	경상북도	경주시 천북면	129.2699704	35.933822
영진약품공업(주)전주공장	5182	전라북도 완주군 봉동읍 완주산단5로 21	전라북도	완주군 봉동읍	127.1191953	35.9463366
영진폴리캠(주)	0	경기도 김포시 양촌읍 학운공단로 39	경기도	김포시 양촌읍	126.5860626	37.6031726
영진화학공업(주)	2326	대구광역시 달서구 성서서로 131	대구광역시	달서구	128.498912	35.836849
영풍전자(주)	34	경기도 안산시 단원구 범지기로141번길 62	경기도	안산시 단원구	126.7951644	37.3109968
영화금속(주)	2	경상남도 창원시 진해구 남의로 57	경상남도	창원시 진해구	128.7875171	35.1154216
영화금속(주)제2공장	22	경상남도 창원시 진해구 남영로552번길 15	경상남도	창원시 진해구	128.783187	35.1203701
영흥철강주식회사	0	경상남도 창원시 신촌동 71-1번지	경상남도	창원시 성산구	128.6445055	35.2182574
예일산업(주)	11	경상북도 구미시 고아읍 농공단지길 36-17	경상북도	구미시 고아읍	128.3273625	36.2164346
오덱(주)온산공장	0	울산광역시 울주군 온산읍 공단로 341	울산광역시	울주군 온산읍	129.3374071	35.4330208
오드펠터미널코리아(주)	399	울산광역시 울주군 온산읍 당월로 594 오드펠터미널코리아	울산광역시	울주군 온산읍	129.3474555	35.4564595
오성화학공업주식회사	1	인천광역시 남동구 청능대로 387	인천광역시	남동구	126.702053	37.3994689
오케이주식회사	0	인천광역시 남동구 능허대로559번길 61	인천광역시	남동구	126.6771783	37.3975371
온산탱크터미널(주)	247	울산광역시 울주군 온산읍 산암로 234	울산광역시	울주군 온산읍	129.3542142	35.4362097
