주소	학교급	학교명	경도	위도	시도	행정구				
강원도 고성군 토성면 교암1길 15 (토성면)	초등학교	동광초등학교	128.543975	38.288908	강원도	고성군				
강원도 고성군 토성면 교암1길 15 (토성면)	유치원	동광초등학교병설유치원	128.543975	38.288908	강원도	고성군				
강원도 고성군 현내면 금강산로 840 (현내면)	초등학교	명파초등학교	128.4014256	38.5417857	강원도	고성군				
강원도 고성군 토성면 아야진길 15 (토성면)	초등학교	아야진초등학교	128.549287	38.273475	강원도	고성군				
강원도 고성군 죽왕면 황포길 28 (죽왕면) 오호초등학교	초등학교	오호초등학교	128.53125	38.31345	강원도	고성군				
강원도 고성군 죽왕면 황포길 28 . 오호초등학교 병설유치원 (죽왕면)	유치원	오호초등학교병설유치원	128.53125	38.31345	강원도	고성군				
강원도 고성군 토성면 인흥1길 26 . 인흥초등학교 (토성면)	초등학교	인흥초등학교	128.550775	38.237001	강원도	고성군				
강원도 고성군 죽왕면 송지호로 6 (죽왕면)	초등학교	죽왕초등학교	128.52295	38.330425	강원도	고성군				
강원도 고성군 죽왕면 송지호로 6 (죽왕면)	유치원	죽왕초등학교병설유치원	128.52295	38.330425	강원도	고성군				
강원도 고성군 토성면 천진1길 14 (토성면.천진초등학교)	초등학교	천진초등학교	128.557	38.257392	강원도	고성군				
강원도 고성군 토성면 천진1길 14 (토성면.천진초등학교)	유치원	천진초등학교병설유치원	128.557	38.257392	강원도	고성군				
강원도 고성군 토성면 용촌길 7 . 푸른하늘유치원 (토성면)	유치원	푸른하늘유치원	128.5791743	38.2309397	강원도	고성군				
강원도 동해시 평원로 120 . 남호초등학교 (평릉동)	초등학교	남호초등학교	129.1131329	37.5343429	강원도	동해시				
강원도 동해시 평원로 120 . 남호초등학교병설유치원 (평릉동)	유치원	남호초등학교병설유치원	129.1131329	37.5343429	강원도	동해시				
강원도 동해시 청운로 78 (동회동)	유치원	대동유치원	129.1031557	37.4868927	강원도	동해시				
강원도 동해시 청운로 112 . 동해광희고등학교 (동회동)	고등학교	동해광희고등학교	129.1025901	37.4904419	강원도	동해시				
강원도 동해시 청운로 112 . 동해광희중학교 (동회동)	중학교	동해광희중학교	129.1025901	37.4904419	강원도	동해시				
강원도 동해시 갯목길 152 (구미동)	유치원	동해남부유치원	129.1414351	37.4903203	강원도	동해시				
강원도 동해시 전천로 276-27 . 동해랑유치원 (단봉동)	유치원	동해랑유치원	129.1238218	37.4795185	강원도	동해시				
강원도 동해시 동해대로 5367 (천곡동)	고등학교	동해삼육고등학교	129.1001178	37.5218477	강원도	동해시				
강원도 동해시 동해대로 5367 . 동해삼육중학교 (천곡동.삼육초.중.고등학교)	중학교	동해삼육중학교	129.1001178	37.5218477	강원도	동해시				
강원도 동해시 동해대로 5367 . 동해삼육초등학교 (천곡동)	초등학교	동해삼육초등학교	129.1001178	37.5218477	강원도	동해시				
강원도 동해시 느릅재길 65 (발한동.동해상업고등학교)	고등학교	동해상업고등학교	129.0939677	37.5439946	강원도	동해시				
강원도 동해시 천곡로 35 (천곡동)	초등학교	동해중앙초등학교	129.1092543	37.5255474	강원도	동해시				
강원도 동해시 천곡로 35 (천곡동)	유치원	동해중앙초등학교병설유치원	129.1092543	37.5255474	강원도	동해시				
강원도 동해시 느릅재길 37 (발한동.동해중학교)	중학교	동해중학교	129.0974799	37.5431781	강원도	동해시				
강원도 동해시 봉오주택길 22 (용정동)	초등학교	동해초등학교	129.120425	37.51205	강원도	동해시				
강원도 동해시 봉오주택길 22 (용정동)	유치원	동해초등학교병설유치원	129.120425	37.51205	강원도	동해시				
강원도 동해시 발한로 123 동호초등학교 (발한동)	초등학교	동호초등학교	129.1001796	37.5440364	강원도	동해시				
강원도 동해시 송이고개길 11 (발한동)	유치원	리라유치원	129.0989839	37.5424872	강원도	동해시				
강원도 동해시 동해대로 6251 (망상동)	초등학교	망상초등학교	129.0897937	37.5907389	강원도	동해시				
강원도 동해시 동해대로 6251 (망상동.망상초등학교)	유치원	망상초등학교병설유치원	129.0897937	37.5907389	강원도	동해시				
강원도 동해시 천곡1길 90 (천곡동)	유치원	무지개유치원	129.1065138	37.5278637	강원도	동해시				
강원도 동해시 승지로 37 (부곡동)	고등학교	묵호고등학교	129.0957802	37.5376955	강원도	동해시				
강원도 동해시 발한로 347 (발한동)	중학교	묵호여자중학교	129.1024164	37.5599592	강원도	동해시				
강원도 동해시 향로3길 42 (발한동.묵호중학교)	중학교	묵호중학교	129.1055915	37.5447114	강원도	동해시				
강원도 동해시 발한천길 30 . 묵호초등학교 (발한동)	초등학교	묵호초등학교	129.1022154	37.5520973	강원도	동해시				
강원도 동해시 해안로 77 (용정동)	유치원	바라밀유치원	129.1245233	37.5104162	강원도	동해시				
강원도 동해시 지양길 77 (지흥동.북삼초등학교)	초등학교	북삼초등학교	129.1003936	37.4957346	강원도	동해시				
강원도 동해시 지양길77 (지흥동)	유치원	북삼초등학교병설유치원	129.1003936	37.4957346	강원도	동해시				
강원도 동해시 효자남길 51 . 북평고등학교 (동회동)	고등학교	북평고등학교	129.1074184	37.491387	강원도	동해시				
강원도 동해시 동굴로 55 . 북평여자고등학교 (천곡동)	고등학교	북평여자고등학교	129.1090295	37.51854	강원도	동해시				
강원도 동해시 선돌길 21 (단봉동.북평여자중학교)	중학교	북평여자중학교	129.1235293	37.4807621	강원도	동해시				
강원도 동해시 용정로 40-7 (용정동)	중학교	북평중학교	129.1162719	37.4983203	강원도	동해시				
강원도 동해시 오일장1길 22 . 북평초등학교 (북평동)	초등학교	북평초등학교	129.1240733	37.4822864	강원도	동해시				
강원도 동해시 오일장길 1 . 22 (구미동)	유치원	북평초등학교병설유치원	129.1269775	37.4799349	강원도	동해시				
강원도 동해시 파수길 38 . 삼화초등학교 (이로동)	초등학교	삼화초등학교	129.067572	37.4850021	강원도	동해시				
강원도 동해시 파수길 38 . 삼화초등학교병설유치원 (이로동)	유치원	삼화초등학교병설유치원	129.067572	37.4850021	강원도	동해시				
강원도 동해시 동해대로 5059 (효가동)	유치원	상지유치원	129.1102432	37.4977064	강원도	동해시				
강원도 동해시 샘실1길 7 (천곡동)	유치원	성호유치원	129.1047638	37.5203268	강원도	동해시				
강원도 동해시 청운2길 21 (쇄운동)	유치원	솔빛유치원	129.1054568	37.4847544	강원도	동해시				
강원도 동해시 동해역길 25 (송정동)	초등학교	송정초등학교	129.1228039	37.4946019	강원도	동해시				
강원도 동해시 동해역길 25 (송정동)송정초등학교 병설유치원	유치원	송정초등학교병설유치원	129.1228039	37.4946019	강원도	동해시				
강원도 동해시 파수길 24 (이로동)	유치원	신애유치원	129.0661949	37.4848231	강원도	동해시				
강원도 동해시 승지로 30 (부곡동)	유치원	아이솔유치원	129.0982916	37.5384112	강원도	동해시				
강원도 동해시 감추3길 37-1 (천곡동)	유치원	예쁜유치원	129.1221949	37.5171214	강원도	동해시				
